"","team","wins","losses","ties","win_perc","offensive_rating","defensive_rating","rank","overall_rating","power_rating"
"181","Northern Ky.",22,27,0,0.448979591836735,-0.853262219313035,-0.945718832389298,258,0.266053726426428,0.502934474074858
"182","Northwestern",29,18,1,0.617021276595745,0.790651043686863,1.16960855474378,41,0.555796006803664,0.729197703351359
"183","Northwestern St.",6,43,0,0.122448979591837,-1.70538023838578,-1.93795410549317,129,0.124465946825783,0.392366875183799
"184","Notre Dame",23,29,1,0.442307692307692,-0.823497869968541,0.76466740514118,34,0.409241036042237,0.61475116518016
"185","Oakland",14,31,0,0.311111111111111,-1.72498935893687,-1.16631110519339,233,0.186749235305652,0.441004643765819
"186","Ohio",35,17,0,0.673076923076923,-0.451696043566979,1.47515212387655,204,0.493916136367959,0.68087496876887
"187","Ohio St.",43,11,1,0.796296296296296,4.6361340714139,1.09047353352951,51,0.818828625219568,0.934603036568001
"188","Oklahoma",42,7,0,0.857142857142857,3.74063396473056,2.26130369662177,13,0.852645181890429,0.961010792127178
"189","Oklahoma St.",33,17,0,0.66,0.556127121143177,2.06749868802413,8,0.613429127236274,0.77420409981302
"190","Ole Miss",37,15,0,0.711538461538462,1.56963190679403,1.85934972734038,15,0.667302306209691,0.816274312796938
"191","Omaha",34,10,0,0.772727272727273,0.784283014052268,1.976431798518,136,0.621909717460169,0.780826694650512
"192","Oregon",47,6,0,0.886792452830189,3.47179041592743,2.55907654195217,63,0.858364983867866,0.965477454239978
"193","Oregon St.",23,21,0,0.522727272727273,-0.623590749032005,0.798132875916582,145,0.426014925971335,0.627850097437975
"194","Pacific",16,33,0,0.326530612244898,-1.29579911969671,-1.88136772297432,143,0.157844976046731,0.418432960298519
"195","Penn",3,35,1,0.0789473684210526,-1.43965345385609,-2.08438384863907,135,0.131012942555282,0.39747950283996
"196","Penn St.",25,26,0,0.490196078431373,1.97808381747182,-1.30071294147483,46,0.435239877363456,0.635053972858512
"197","Pittsburgh",20,32,0,0.384615384615385,-0.261058217788837,-0.455537157502887,39,0.348004365257188,0.566930712935747
